Suburb,Rooms,Type,Price,Method,Distance,Postcode,Bedroom2,Bathroom,Car,CouncilArea,Regionname,Propertycount,Year
Abbotsford,3,h,1465000.0,SP,2.5,3067.0,3.0,2.0,0.0,Yarra City Council,Northern Metropolitan,4019.0,2017
Abbotsford,3,h,850000.0,PI,2.5,3067.0,3.0,2.0,1.0,Yarra City Council,Northern Metropolitan,4019.0,2017
Abbotsford,4,h,1330000.0,PI,2.5,3067.0,4.0,2.0,2.0,Yarra City Council,Northern Metropolitan,4019.0,2017
Abbotsford,3,t,900000.0,S,2.5,3067.0,3.0,2.0,2.0,Yarra City Council,Northern Metropolitan,4019.0,2017
Abbotsford,3,u,1090000.0,S,2.5,3067.0,3.0,2.0,2.0,Yarra City Council,Northern Metropolitan,4019.0,2017
Abbotsford,3,t,962000.0,SP,2.5,3067.0,3.0,2.0,2.0,Yarra City Council,Northern Metropolitan,4019.0,2017
Abbotsford,3,h,1290000.0,S,2.5,3067.0,3.0,2.0,2.0,Yarra City Council,Northern Metropolitan,4019.0,2017
Abbotsford,3,h,1290000.0,S,2.5,3067.0,3.0,1.0,1.0,Yarra City Council,Northern Metropolitan,4019.0,2017
Airport West,3,h,770000.0,SP,13.5,3042.0,3.0,2.0,1.0,Moonee Valley City Council,Western Metropolitan,3464.0,2017
Airport West,2,h,603000.0,S,13.5,3042.0,2.0,1.0,1.0,Moonee Valley City Council,Western Metropolitan,3464.0,2017
Airport West,3,t,700000.0,S,13.5,3042.0,3.0,2.0,2.0,Moonee Valley City Council,Western Metropolitan,3464.0,2017
Airport West,3,h,600000.0,S,13.5,3042.0,2.0,1.0,1.0,Moonee Valley City Council,Western Metropolitan,3464.0,2017
Airport West,2,u,500000.0,VB,13.5,3042.0,2.0,1.0,1.0,Moonee Valley City Council,Western Metropolitan,3464.0,2017
Airport West,3,u,752000.0,S,13.5,3042.0,3.0,1.0,1.0,Moonee Valley City Council,Western Metropolitan,3464.0,2017
Airport West,3,h,810000.0,PI,13.5,3042.0,3.0,3.0,2.0,Moonee Valley City Council,Western Metropolitan,3464.0,2017
Airport West,3,h,715000.0,S,13.5,3042.0,3.0,2.0,2.0,Moonee Valley City Council,Western Metropolitan,3464.0,2017
Airport West,3,h,790000.0,S,13.5,3042.0,3.0,1.0,3.0,Moonee Valley City Council,Western Metropolitan,3464.0,2017
Airport West,3,h,720000.0,PI,13.5,3042.0,3.0,1.0,1.0,Moonee Valley City Council,Western Metropolitan,3464.0,2017
Albert Park,3,h,1850000.0,S,3.3,3206.0,3.0,2.0,0.0,Port Phillip City Council,Southern Metropolitan,3280.0,2017
Albert Park,2,h,1436000.0,S,3.3,3206.0,2.0,1.0,0.0,Port Phillip City Council,Southern Metropolitan,3280.0,2017
Albert Park,3,h,1900000.0,S,3.3,3206.0,3.0,1.0,0.0,Port Phillip City Council,Southern Metropolitan,3280.0,2017
Albert Park,1,u,442500.0,S,3.3,3206.0,1.0,1.0,0.0,Port Phillip City Council,Southern Metropolitan,3280.0,2017
Albert Park,2,h,1340000.0,S,3.3,3206.0,2.0,1.0,0.0,Port Phillip City Council,Southern Metropolitan,3280.0,2017
Albert Park,3,h,1801000.0,S,3.3,3206.0,3.0,1.0,1.0,Port Phillip City Council,Southern Metropolitan,3280.0,2017
Alphington,3,h,1492000.0,S,6.4,3078.0,3.0,2.0,2.0,Darebin City Council,Northern Metropolitan,2211.0,2017
Alphington,2,u,820000.0,S,6.4,3078.0,2.0,1.0,1.0,Darebin City Council,Northern Metropolitan,2211.0,2017
Alphington,2,u,512000.0,S,6.4,3078.0,2.0,1.0,1.0,Darebin City Council,Northern Metropolitan,2211.0,2017
Alphington,3,h,1361000.0,S,6.4,3078.0,3.0,2.0,2.0,Darebin City Council,Northern Metropolitan,2211.0,2017
Altona,3,h,1120000.0,S,13.8,3018.0,3.0,1.0,2.0,Hobsons Bay City Council,Western Metropolitan,5301.0,2017
Altona,3,t,705000.0,S,13.8,3018.0,3.0,2.0,2.0,Hobsons Bay City Council,Western Metropolitan,5301.0,2017
Altona,2,u,391000.0,SP,13.8,3018.0,2.0,1.0,1.0,Hobsons Bay City Council,Western Metropolitan,5301.0,2017
Altona,2,u,440000.0,SP,13.8,3018.0,2.0,1.0,1.0,Hobsons Bay City Council,Western Metropolitan,5301.0,2017
Altona,4,h,845000.0,S,13.8,3018.0,4.0,1.0,2.0,Hobsons Bay City Council,Western Metropolitan,5301.0,2017
Altona,3,h,766000.0,S,13.8,3018.0,3.0,2.0,2.0,Hobsons Bay City Council,Western Metropolitan,5301.0,2017
Altona,3,h,840000.0,SP,13.8,3018.0,3.0,2.0,2.0,Hobsons Bay City Council,Western Metropolitan,5301.0,2017
