Quarter,Mean_Dwelling_Price_VIC,Year,Period,Quarterly_%_Change
2017-03-01,695.6,2017,Pre Covid,
2017-06-01,723.8,2017,Pre Covid,4.054054054054035
2017-09-01,717.6,2017,Pre Covid,-0.8565902182923413
2017-12-01,746.9,2017,Pre Covid,4.083054626532889
2018-03-01,743.7,2018,Pre Covid,-0.42843754183959915
2018-06-01,737.7,2018,Pre Covid,-0.8067769261799085
2018-09-01,717.4,2018,Pre Covid,-2.7517961230852706
2018-12-01,708.6,2018,Pre Covid,-1.2266517981600167
2019-03-01,683.0,2019,Pre Covid,-3.6127575500987885
2019-06-01,690.9,2019,Pre Covid,1.1566617862371897
2019-09-01,715.5,2019,Pre Covid,3.560573165436387
2019-12-01,749.1,2019,Pre Covid,4.696016771488476
2020-03-01,761.2,2020,Covid,1.6152716593245353
2020-06-01,748.6,2020,Covid,-1.6552811350499241
2020-09-01,757.3,2020,Covid,1.1621693828479662
2020-12-01,792.4,2020,Covid,4.634887098904006
2021-03-01,831.9,2021,Covid,4.984856133266025
2021-06-01,874.8,2021,Covid,5.1568698160836535
2021-09-01,900.9,2021,Covid,2.9835390946502116
2021-12-01,941.8,2021,Covid,4.539904539904538
2022-03-01,942.2,2022,Post Covid,0.04247186239116907
2022-06-01,928.4,2022,Post Covid,-1.4646571853109802
2022-09-01,901.1,2022,Post Covid,-2.9405428694528224
2022-12-01,901.3,2022,Post Covid,0.022195094884014388
2023-03-01,898.4,2023,Post Covid,-0.32175746144458284
2023-06-01,902.9,2023,Post Covid,0.5008904719501439
2023-09-01,904.3,2023,Post Covid,0.15505593088935843
2023-12-01,920.7,2023,Post Covid,1.8135574477496474
2024-03-01,911.8,2024,Post Covid,-0.9666558053654906
2024-06-01,908.8,2024,Post Covid,-0.3290195218249581
2024-09-01,893.2,2024,Post Covid,-1.7165492957746387
2024-12-01,902.3,2024,Post Covid,1.0188087774294585
2025-03-01,910.2,2025,Post Covid,0.8755402859359496
2025-06-01,909.6,2025,Post Covid,-0.06591957811470373
2025-09-01,918.5,2025,Post Covid,0.9784520668425722
