Feature,Importance
Regionname_Southern Metropolitan,0.27211893
CouncilArea_Hume City Council,0.04283004
CouncilArea_Manningham City Council,0.042779412
Type_u,0.03274045
Regionname_Northern Metropolitan,0.023032881
CouncilArea_Wyndham City Council,0.021067195
CouncilArea_Brimbank City Council,0.020627735
Distance,0.019173402
CouncilArea_Yarra City Council,0.017140314
Postcode,0.01685913
CouncilArea_Monash City Council,0.013810151
CouncilArea_Whitehorse City Council,0.0133414185
Regionname_Western Metropolitan,0.011650724
CouncilArea_Kingston City Council,0.010135734
CouncilArea_Maribyrnong City Council,0.009644904
